"tract","Name","Household_Income_rW_gP_pall"
25009204102,"Salem, MA",60694
25017331200,"Wilmington, MA",60590
25017316201,"Pinehurst, Billerica, MA",60259
25009202102,"Swampscott, MA",59945
25017333400,"Woburn, MA",59731
25017340100,"Medford, MA",59661
25009253100,"North Andover, MA",59657
25009217500,"Beverly, MA",59394
25017315200,"Tewksbury, MA",59385
25009252202,"Methuen, MA",59272
25017330200,"North Reading, MA",59264
33015100400,"Salem, NH",59263
25017356500,"Arlington, MA",59085
25017335301,"Wakefield, MA",59073
25025170100,"Revere, MA",59011
25009253202,"North Andover, MA",58962
25009265101,"Georgetown, MA",58863
25009217201,"Beverly, MA",58741
25009208400,"Saugus, MA",58729
25017333600,"Woburn, MA",58727
25017337300,"Stoneham, MA",58643
25009215102,"South Hamilton, Hamilton, MA",58582
33011200200,"Pelham, NH",58561
25009217202,"Beverly, MA",58196
25017360100,"Hanscom Air Force Base, MA",58187
25017316400,"North Billerica, Billerica, MA",58076
25009210600,"South Peabody, Peabody, MA",58019
25009211401,"Danvers, MA",57911
25009208300,"Saugus, MA",57893
25009252201,"Methuen, MA",57852
25017311600,"Highlands, Lowell, MA",57834
25017316500,"North Billerica, Billerica, MA",57795
25017316300,"Billerica, MA",57769
25017356100,"Arlington, MA",57712
25017350103,"Ten Hills, Somerville, MA",57622
25017354800,"North Cambridge, Cambridge, MA",57610
25025180200,"Winthrop, MA",57595
33015062500,"Kensington, NH",57594
25009222100,"Essex, Essex, MA",57528
25009210500,"South Peabody, Peabody, MA",57464
25009260302,"Haverhill, MA",57441
25017355000,"North Cambridge, Cambridge, MA",57434
25017310601,"Pawtucketville, Lowell, MA",57403
25009211200,"Danvers, MA",57389
25009201100,"Nahant, MA",57384
25017357600,"Belmont, MA",57371
33011200300,"Pelham, NH",57353
25017354500,"Neighborhood Nine, Cambridge, MA",57231
25009212100,"Middleton, MA",57189
25017339600,"South Medford, Medford, MA",57171
25009220101,"Rockport, Rockport, MA",56989
25017338200,"Winchester, MA",56892
25009268400,"Newburyport, MA",56694
25017315403,"South Tewksbury, Tewksbury, MA",56645
25017339300,"West Medford, Medford, MA",56602
25017310500,"Pawtucketville, Lowell, MA",56438
25017314101,"Dracut, MA",56320
25009205400,"Lynn, MA",56103
25009252601,"Methuen, MA",56066
25017342600,"Everett, MA",56062
25009205300,"Lynn, MA",56039
25017340000,"Medford, MA",55996
25009211100,"Danvers, MA",55993
25017312300,"South Lowell, Lowell, MA",55943
25017339801,"Medford, MA",55894
25025180101,"Winthrop, MA",55845
25017350400,"Powder House Square, Somerville, MA",55830
33015100100,"Salem, NH",55829
25017314102,"Dracut, MA",55815
25009269100,"Newbury, MA",55767
25009223200,"Ipswich, Ipswich, MA",55676
25017336401,"Melrose, MA",55665
33015100301,"Salem, NH",55570
25009210400,"Peabody, MA",55559
33015101100,"Plaistow, NH",55539
25009221100,"Gloucester, MA",55511
25009208102,"Saugus, MA",55170
33015003901,"Londonderry, Londonderry, NH",55053
25009221300,"Gloucester, MA",55001
25017339700,"South Medford, Medford, MA",54972
25017315401,"Tewksbury, MA",54939
25017354300,"Strawberry Hill, Cambridge, MA",54881
25009266400,"Amesbury, MA",54878
33015003703,"Londonderry, NH",54849
25017310200,"Centralville, Lowell, MA",54770
25009260500,"Haverhill, MA",54710
25017314200,"Dracut, MA",54648
25009260402,"Haverhill, MA",54575
33015100200,"Salem, NH",54554
25009204600,"Salem, MA",54493
25009205700,"Lynn, MA",54440
25017356300,"Arlington, MA",54390
25009251800,"Lawrence, MA",54365
25025160300,"Chelsea, MA",54298
25017354700,"North Cambridge, Cambridge, MA",54283
25017315500,"Tewksbury, MA",54260
25017339900,"Medford, MA",54190
25009266100,"Amesbury, MA",54187
25017341600,"Malden, MA",54172
25009205100,"Lynn, MA",54061
25009221901,"Gloucester, MA",54047
25017354600,"Neighborhood Nine, Cambridge, MA",53861
25009252101,"Methuen, MA",53855
25017351100,"Spring Hill, Somerville, MA",53804
25017310602,"Pawtucketville, Lowell, MA",53774
25009270100,"Rowley, MA",53667
25009204400,"Salem, MA",53505
25009262100,"Merrimac, MA",53437
25009260301,"Haverhill, MA",53393
25017341700,"Malden, MA",53326
25017350900,"Davis Square, Somerville, MA",53280
25017354400,"West Cambridge, Cambridge, MA",53062
25009221902,"Gloucester, MA",53044
25017342101,"Everett, MA",53016
25009220102,"Rockport, MA",52970
25017368300,"Banks Square, Waltham, MA",52943
25017311400,"Highlands, Lowell, MA",52921
25009252501,"Methuen, MA",52705
25009204701,"Salem, MA",52620
25009221700,"Gloucester, MA",52596
25009208101,"Saugus, MA",52565
25009210900,"Peabody, MA",52548
25009208200,"Saugus, MA",52510
25025170601,"Revere, MA",51864
25009204200,"Salem, MA",51773
33015003601,"Derry, Derry, NH",51746
33015105100,"Kingston, NH",51700
25017354900,"North Cambridge, Cambridge, MA",51553
25017350104,"Somerville, MA",51412
25025170300,"Revere, MA",51355
25025051101,"East Boston, Boston, MA",51355
25017341400,"Malden, MA",51339
25017342202,"Everett, MA",51284
25025040600,"Charlestown, Boston, MA",50987
25017356701,"Arlington, MA",50869
25017341200,"Malden, MA",50663
25017341300,"Malden, MA",50648
25017342201,"Everett, MA",50568
25009261102,"Haverhill, MA",50563
25009268300,"Newburyport, MA",50531
25017341902,"Malden, MA",50511
25017350700,"West Somerville, Somerville, MA",50471
25025170200,"Revere, MA",50153
25009266300,"Amesbury, MA",50066
25017351000,"Spring Hill, Somerville, MA",50029
25009260900,"Haverhill, MA",50002
25017310300,"Centralville, Lowell, MA",49758
25009204101,"Salem, MA",49621
25017312000,"Back Central, Lowell, MA",49542
25017341500,"Malden, MA",49538
25017350300,"Magoun Square, Somerville, MA",49484
25017311500,"Highlands, Lowell, MA",49437
25017311300,"Highlands, Lowell, MA",49291
25009210700,"Peabody, MA",49231
25025170502,"Revere, MA",49171
25017342500,"Everett, MA",48969
25009266200,"Amesbury, MA",48878
25017342300,"Everett, MA",48799
25025160602,"Chelsea, MA",48609
25017350200,"Winter Hill, Somerville, MA",48548
25017350800,"Teele Square, Somerville, MA",48352
25009206400,"Lynn, MA",48272
25025170400,"Revere, MA",48184
25009252300,"Methuen, MA",47951
25017351403,"East Somerville, Somerville, MA",47841
33015102100,"Newton, NH",47812
25017339802,"Medford, MA",47593
25009260600,"Haverhill, MA",47350
25009267102,"Salisbury, MA",47345
25025170501,"Revere, MA",47337
25009250800,"Lawrence, MA",47331
25017351300,"Prospect Hill, Somerville, MA",47290
25009252400,"Methuen, MA",46946
25017342102,"Everett, MA",46753
25017342400,"Everett, MA",46752
25009205600,"Lynn, MA",46698
25025170701,"Revere, MA",46695
25009204500,"Salem, MA",46665
25009206900,"Lynn, MA",46647
25009205200,"Lynn, MA",46545
25009250400,"Lawrence, MA",46448
25009260200,"Haverhill, MA",46407
25025170800,"Revere, MA",46367
25009221400,"Gloucester, MA",46315
25009260700,"Haverhill, MA",46234
25017341800,"Malden, MA",46086
25017351404,"East Somerville, Somerville, MA",45946
25017312200,"South Lowell, Lowell, MA",45862
25009207000,"Lynn, MA",45845
25025170702,"Revere, MA",45713
25017351204,"Ward Two, Somerville, MA",45712
33015003400,"Derry, Derry, NH",45472
25009205900,"Lynn, MA",45334
25017311100,"The Acre, Lowell, MA",45177
25009221500,"Gloucester, MA",45124
25009205500,"Lynn, MA",45029
25017312400,"Belvidere, Lowell, MA",44810
25009261000,"Haverhill, MA",44625
25017333300,"Woburn, MA",44576
25009267101,"Salisbury, MA",44384
33015063001,"Seabrook, NH",44384
25025160502,"Chelsea, MA",44219
25025160200,"Chelsea, MA",44149
25025160601,"Chelsea, MA",44145
25009260800,"Haverhill, MA",44143
25017311900,"Back Central, Lowell, MA",44059
25009210800,"Peabody, MA",44055
25017311700,"Highlands, Lowell, MA",43820
25009217300,"Beverly, MA",43799
25017341901,"Malden, MA",43776
25009251500,"Lawrence, MA",43760
25009250600,"Lawrence, MA",43734
25017310700,"The Acre, Lowell, MA",43661
25009205800,"Lynn, MA",43604
25025040801,"Charlestown, Boston, MA",43247
25009250900,"Lawrence, MA",43184
25025050901,"Eagle Hill, Boston, MA",42918
25017311200,"Highlands, Lowell, MA",42837
25009250200,"Lawrence, MA",42666
25009251600,"Lawrence, MA",42578
25009206700,"Lynn, MA",42522
25017310100,"Downtown, Lowell, MA",42475
25009250700,"Lawrence, MA",42362
33015003500,"Derry, Derry, NH",42319
25025160400,"Chelsea, MA",42034
25025160501,"Chelsea, MA",41721
25009206500,"Lynn, MA",41709
25025051000,"East Boston, Boston, MA",40985
25009251300,"Lawrence, MA",40919
25009217400,"Beverly, MA",40846
25009221600,"Gloucester, MA",40202
25017312100,"South Lowell, Lowell, MA",39829
25009251400,"Lawrence, MA",39408
25009207200,"Lynn, MA",39267
25009206600,"Lynn, MA",38807
25025160101,"Chelsea, MA",38578
25017310400,"Centralville, Lowell, MA",38577
25017311800,"Highlands, Lowell, MA",38317
25025050101,"Eagle Hill, Boston, MA",38175
25009251700,"Lawrence, MA",38018
25009207100,"Lynn, MA",37347
25009206300,"Lynn, MA",37187
25009206200,"Lynn, MA",36705
25009206100,"Lynn, MA",36660
33015063002,"Seabrook, NH",36617
25009250300,"Lawrence, MA",36243
25009250100,"Lawrence, MA",34637
25009250500,"Lawrence, MA",34418
25009204300,"The Point, Salem, MA",33508
25009251000,"Lawrence, MA",33203
25009206000,"Lynn, MA",32901
25009251100,"Lawrence, MA",32850
25009260100,"Haverhill, MA",32475
25009206800,"Lynn, MA",32191
25017388300,"The Acre, Lowell, MA",29006
25009251200,"Lawrence, MA",
25025981502,"Revere, MA",
